#numero_escuela	partido	x		y		
58			3		6383680.543	6155105.332
45			1		6386779.011	6150276.705
33			2		6386135.028	6148771.919
67			3		6387797.838	6155513.089
49			3		6388280.001	6155257.31
5			3		6386377.689	6154976.667
14			3		6387037.33	6154352.543
35			3		6383505.519	6153400.654
34			2		6388163.983	6145126.228
17			2		6386492.317	6147424.275
39			2		6386474.315	6145726.959
28			2		6383798.611	6150052.092
10			2		6383802.692	6146657.458
26			2		6387747.538	6145541.824
57			2		6386938.47	6144924.749
27			1		6386405.857	6150617.728
8			1		6388689.218	6153153.112
69			3		6385192.431	6154477.735
52			3		6385971.101	6153890.411
46			1		6385588.407	6152218.897
50			2		6387339.14	6144407.141
61			2		6384044.558	6140996.114
5			2		6385544.713	6143842.069
34			1		6387205.154	6148786.818
10			1		6388396.246	6148446.347
15			2		6385118.306	6148943.976
38			3		6385943.73	6155739.375
34			3		6384679.084	6152422.684
54			3		6383897.154	6153198.287
66			3		6383769.892	6152596.232
41			2		6382572.967	6144018.26
47			2		6384343.451	6144077.935
23			1		6386515.086	6152055.642
18			1		6387231.284	6151146.408
47			1		6386878.014	6152479.66
42			1		6387359.438	6152591.12
51			2		6384232.794	6148523.827
40			2		6384701.976	6149553.085
22			2		6383562.631	6149205.429
6			2		6384960.676	6146462.395
58			2		6384674.337	6146812.753
55			2		6387205.681	6145992.344
16			2		6384288.44	6147793.568
46			2		6384009.587	6145225.151
25			2		6383728.859	6145736.761
32			1		6386557.758	6149153.577
26			1		6388446.121	6151038.622
29			1		6385704.819	6151402.21
4			1		6384479.651	6151094.37
33			1		6385429.897	6151126.347
49			1		6388161.43	6150038.735
74			3		6385763.861	6154856.981
44			3		6386140.098	6154418.62
24			1		6388052.047	6151936
13			1		6387927.022	6152353.914
40			1		6386671.312	6153164.771
16			1		6387157.537	6153205.509
21			1		6387651.575	6153348.577
18			2		6387374.161	6147138.375
38			2		6387850.636	6147472.886
36			2		6383134.818	6141094.847
30			1		6387251.505	6149876.511
85			3		6385003.438	6152950.943
53			1		6387015.859	6151001.386
54			1		6385929.549	6152908.163
66			2		6387787.226	6145553.398
65			2		6383485.881	6147268.196
41			1		6384431.979	6151912.771
2			2		6384854.694	6148194.985
